Text,Label
കേള്‍വി തകരാറുള്ള കുട്ടികള്‍ക്ക് നടത്തുന്ന സൗജന്യ കോക്ലിയാര്‍ ഇംപ്ലാന്റേഷന്‍ സര്‍ജറി പിണറായി സര്‍ക്കാര്‍ നിര്‍ത്തലാക്കി.,0
ചന്ദ്രയാന് കേരള മുഖ്യമന്ത്രി പിണറായി വിജയൻ മാത്രം ആശംസ നേർന്നില്ല.,0
പിണറായി വിജയന്‍ സര്‍ക്കാര്‍ നിര്‍മിച്ച കേരളത്തിലെ അത്യാധുനിക റോഡിന്റെ ദൃശ്യം.,0
മുഖ്യമന്ത്രിയുടെ ബിനാമി എന്ന് സ്വർണക്കടത്തു കേസ് സ്വപ്ന സുരേഷ് ആരോപിക്കുന്ന ഷാജ് കിരണുമായി മുഖ്യമന്ത്രി പിണറായി വിജയൻ നിൽക്കുന്ന ചിത്രം.,0
മുഖ്യമന്ത്രി പിണറായി വിജയനെ ഡല്‍ഹിയിലേക്ക് വിളിപ്പിച്ച്് കോളറില്‍ പിടിച്ച് പ്രധാനമന്ത്രി.,0
കോടതി പറഞ്ഞാല്‍ പൗരത്വ നിയമം നടപ്പിലാക്കുമെന്ന് മുഖ്യമന്ത്രി പിണറായി വിജയന്‍,0
"""അയ്യപ്പ വിശ്വാസികളുടെ വോട്ട് സി.പി.എമ്മിന് വേണ്ട. കമ്മ്യൂണിസ്റ്റ് പാർട്ടി തരംതാണിട്ടില്ല, "" മുഖ്യമന്ത്രി പിണറായി വിജയൻ പറഞ്ഞു",0
ഏതൊരു മലയാളിയേയും പോലെ പിണറായി സർക്കാരിന്റെ തുടർഭരണത്തിനായി ആഗ്രഹിക്കുന്നെന്ന് ഫഹദ് ഫാസിൽ,0
മെല്‍ബണില്‍ പിണറായിക്ക് ആദരമായി കൂറ്റന്‍ ബോർഡ്; ഫോട്ടോഷോപ്പോ അതോ...സത്യം പുറത്ത്,1
മുഖ്യമന്ത്രി പിണറായി വിജയനെതിരെ വിഎസ് അച്യുതാനന്ദൻ തരംതാണ പരാമർശം നടത്തി,0
മുഖ്യമന്ത്രി പിണറായി വിജയനെ പി ശ്രീരാമകൃഷ്ണന്‍ വിമര്‍ശിക്കുന്നത്,0
തിരഞ്ഞെടുപ്പ് പ്രചാരണത്തിനിടെ മുഖ്യമന്ത്രി പിണറായി വിജയനെ പൊതുവേദിയിൽവെച്ചു കമ്മ്യൂണിസ്റ്റ്‌ പ്രവർത്തകൻ ആക്രമിച്ചതിന്റെ വീഡിയോ പുറത്ത്.,0
സ്വപ്ന പിണറായി യുടെ മകളുടെ കല്യാണത്തിന് പങ്കെടുത്ത ഫോട്ടോ പുറത്ത്,0
പിണറായി വിജയന്‍ വൃക്ഷതൈ നടാന്‍ ബൂട്ടും ഗ്ലൌവ്സും ഇട്ടു പോകുന്നതിന്‍റെ ചിത്രം.,0
പുതുപ്പള്ളിയിൽ നടന്ന വികസനത്തെ പറ്റിയുള്ള ചോദ്യത്തിന് ചാണ്ടി ഉമ്മൻ മറുപടി പറഞ്ഞില്ല,0
പുതുപ്പള്ളിയിലെ വികസനത്തേക്കുറിച്ച് തുറന്ന സംവാദത്തിന് തയ്യാറുണ്ടോ എന്ന ചോദ്യത്തിന് മറുപടി പറയാതെ ചാണ്ടി ഉമ്മൻ.,0
മുന്‍ കോണ്‍ഗ്രസ് സര്‍ക്കാര്‍ ഒന്നര വര്‍ഷത്തെ പെന്‍ഷന്‍ കുടിശിക വരുത്തിയിരുന്നു.,1
പൊതുമരാമത്ത് വകുപ്പ് കോഴിക്കോട് നിര്‍മിച്ച റോഡ്.,0
കോഴിക്കോട് തളി ശിവക്ഷേത്രത്തിൽ ദർശനം പൊലീസ് കാവലിൽ,0
കോഴിക്കോട് തളി ശിവക്ഷേത്രം നിൽക്കുന്ന പ്രദേശം മർക്കസ് ദുവ എന്ന് പുനർനാമകരണം ചെയ്തു,0
കോഴിക്കോട്ട് നടന്ന k rail വിശദീകരണ യോഗത്തില്‍ ആരും പങ്കെടുത്തില്ല,0
കോഴിക്കോട് റെയില്‍വെ സ്‌റ്റേഷനില്‍ നിന്ന് 650 കിലോ പഴകിയ കോഴിയിറച്ചി പിടിച്ചുകോഴിക്കോട് റെയില്‍വെ സ്‌റ്റേഷനില്‍ നിന്ന് 650 കിലോ പഴകിയ കോഴിയിറച്ചി പിടിച്ചു,1
കോഴിക്കോട്ട് നടന്ന k rail വിശദീകരണ യോഗത്തിലെ ഒഴിഞ്ഞ കസേരകൾ.,0
1970കളിൽ കോഴിക്കോട് ഫൂട്ബോൾ കളി കാണാൻ വന്ന സ്ത്രീകളുടെ ഫോട്ടോ.,0
വഖഫ് സംരക്ഷണത്തിനായുള്ള മുസ്ലീം ലീഗ് സമ്മേളനം കോഴിക്കോട് ബീച്ചില്‍ നടന്നതിനു തൊട്ടടുത്ത ദിവസം ബെവ്‌കോ പുറത്തുവിട്ട കണക്കില്‍ കോഴിക്കോട് ജില്ലയില്‍ റെക്കോഡ് മദ്യ വില്‍പന.,0
കോഴിക്കോട് സിറ്റി ട്രാഫിക് പോലീസിന്‍റെ സന്ദേശം,0
പ്രധാനമന്ത്രി നരേന്ദ്ര മോദിയെ കാണാൻ കൊച്ചിയിൽ എത്തിയ ജനം.,0
